Date,Price,Open,High,Low,Volume,Chg%
1-Aug-11,"5,516.80","5,527.50","5,551.90","5,486.45",98.96M,0.63%
29-Jul-11,"5,482.00","5,479.00","5,520.30","5,453.95",156.13M,-0.10%
28-Jul-11,"5,487.75","5,492.40","5,512.10","5,475.65",164.52M,-1.06%
27-Jul-11,"5,546.80","5,588.55","5,591.70","5,521.50",122.32M,-0.50%
26-Jul-11,"5,574.85","5,688.45","5,702.25","5,560.15",134.11M,-1.86%
25-Jul-11,"5,680.30","5,633.80","5,700.55","5,616.70",142.01M,0.82%
22-Jul-11,"5,633.95","5,576.95","5,642.20","5,567.10",106.78M,1.67%
21-Jul-11,"5,541.60","5,554.60","5,578.90","5,532.70",76.33M,-0.46%
20-Jul-11,"5,567.05","5,642.05","5,645.40","5,555.10",87.09M,-0.83%
19-Jul-11,"5,613.55","5,569.85","5,627.65","5,557.20",86.56M,0.84%
18-Jul-11,"5,567.05","5,581.75","5,596.60","5,550.95",73.61M,-0.25%
15-Jul-11,"5,581.10","5,602.95","5,631.70","5,562.75",80.43M,-0.33%
14-Jul-11,"5,599.80","5,569.00","5,653.95","5,541.70",123.02M,0.26%
13-Jul-11,"5,585.45","5,542.05","5,596.15","5,541.40",106.02M,1.07%
12-Jul-11,"5,526.15","5,556.90","5,580.25","5,496.95",104.91M,-1.60%
11-Jul-11,"5,616.10","5,648.05","5,652.90","5,601.70",78.90M,-0.79%
8-Jul-11,"5,660.65","5,734.65","5,740.40","5,651.05",129.28M,-1.19%
7-Jul-11,"5,728.95","5,633.35","5,737.15","5,632.95",112.22M,1.84%
6-Jul-11,"5,625.45","5,622.70","5,655.40","5,610.75",86.11M,-0.12%
5-Jul-11,"5,632.10","5,659.85","5,659.85","5,612.30",100.78M,-0.33%
4-Jul-11,"5,650.50","5,679.55","5,679.65","5,633.10",103.53M,0.41%
1-Jul-11,"5,627.20","5,705.75","5,705.80","5,609.75",141.09M,-0.36%
30-Jun-11,"5,647.40","5,614.50","5,657.90","5,606.10",179.22M,0.84%
29-Jun-11,"5,600.45","5,566.50","5,608.65","5,566.50",124.59M,0.99%
28-Jun-11,"5,545.30","5,548.85","5,558.30","5,496.35",114.41M,0.34%
27-Jun-11,"5,526.60","5,441.20","5,552.65","5,434.25",143.40M,1.01%
24-Jun-11,"5,471.25","5,343.40","5,477.85","5,343.40",140.10M,2.84%
23-Jun-11,"5,320.00","5,269.10","5,330.60","5,252.25",89.00M,0.79%
22-Jun-11,"5,278.30","5,304.65","5,310.50","5,262.50",95.77M,0.05%
21-Jun-11,"5,275.85","5,280.80","5,322.45","5,257.00",107.19M,0.34%
20-Jun-11,"5,257.90","5,372.20","5,377.40","5,195.90",135.34M,-2.02%
17-Jun-11,"5,366.40","5,412.50","5,421.15","5,355.85",97.88M,-0.56%
16-Jun-11,"5,396.75","5,419.65","5,447.50","5,389.80",128.06M,-0.93%
15-Jun-11,"5,447.50","5,494.45","5,499.35","5,438.95",95.88M,-0.96%
14-Jun-11,"5,500.50","5,485.60","5,520.15","5,484.20",97.84M,0.32%
13-Jun-11,"5,482.80","5,469.85","5,496.70","5,436.95",80.11M,-0.05%
10-Jun-11,"5,485.80","5,518.05","5,521.45","5,457.45",84.19M,-0.64%
9-Jun-11,"5,521.05","5,523.55","5,540.10","5,502.05",87.03M,-0.10%
8-Jun-11,"5,526.85","5,535.25","5,556.60","5,514.90",92.93M,-0.53%
7-Jun-11,"5,556.15","5,509.15","5,570.10","5,507.80",81.86M,0.44%
6-Jun-11,"5,532.05","5,504.30","5,542.65","5,479.85",77.14M,0.28%
3-Jun-11,"5,516.75","5,565.70","5,604.95","5,507.20",101.02M,-0.61%
2-Jun-11,"5,550.35","5,529.90","5,568.20","5,521.95",110.95M,-0.74%
1-Jun-11,"5,592.00","5,561.05","5,597.35","5,559.45",98.63M,0.57%
31-May-11,"5,560.15","5,492.00","5,571.60","5,489.70",149.41M,1.59%
30-May-11,"5,473.10","5,493.75","5,509.30","5,458.60",100.77M,-0.05%
27-May-11,"5,476.10","5,413.70","5,485.80","5,413.60",117.23M,1.18%
26-May-11,"5,412.35","5,372.75","5,422.20","5,356.35",161.61M,1.19%
25-May-11,"5,348.95","5,389.10","5,389.10","5,328.70",99.92M,-0.85%
24-May-11,"5,394.85","5,385.10","5,422.60","5,367.45",100.05M,0.15%
